Code,Maternal_Ed,FRPL,Origin,Concern,PQ_LANG_MOM_CH,PQ_LANG_DAD_CH,GENDER,BESA_S_CZr,BESA_S_SRr,BESA_S_s,BESA_E_CZr,BESA_E_SRr,BESA_E_s,PGU_Spanish,PGU_English,Words_Spanish,Words_English,AoA_ENG
13405,4,1,3,0,3,5,1,0,2,58,13,30,100,NA,72.41,NA,113,0
13504,4,1,3,0,4,5,1,6,2,78,1,3,60,72.73,33.33,105,80,4
13604,2,1,0,0,4,5,1,0,3,60,1,3,62,NA,20,NA,100,3
13705,3,1,1,0,5,3,2,3,8,73,2,4,60,55.88,44.44,148,145,4
13804,2,1,1,0,3,3,2,0,0,52,9,23,90,NA,0,104,80,0
13905,0,1,3,1,0,0,2,0,4,60,1,3,60,36.36,NA,89,59,0
14006,3,1,3,1,5,3,2,14,28,105,5,13,68,63.64,0,100,76,4
14104,1,1,0,2,5,5,2,6,13,85,0,3,55,56,NA,82,77,3
14204,5,0,1,1,4,4,1,0,0,52,0,0,0,NA,NA,NA,NA,3
04804,NA,NA,NA,NA,NA,NA,2,12,30,115,NA,NA,NA,NA,NA,NA,NA,NA
06106,NA,NA,NA,NA,NA,NA,2,13,35,110,NA,NA,NA,NA,NA,NA,NA,NA
06405,NA,NA,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
00106,1,NA,NA,1,NA,NA,2,8,22,88,NA,NA,NA,59.57,NA,194,NA,NA
00206,1,NA,NA,0,NA,NA,2,15,33,113,NA,NA,NA,100,NA,198,NA,NA
00306,1,NA,NA,1,NA,NA,2,12,20,95,NA,NA,NA,60.53,NA,185,NA,NA
00406,2,NA,NA,0,NA,NA,1,11,35,108,NA,NA,NA,82.35,NA,156,NA,NA
00506,1,NA,NA,1,NA,NA,1,15,36,115,NA,NA,NA,88.89,NA,155,NA,NA
00605,1,NA,NA,1,NA,NA,1,13,20,100,NA,NA,NA,58.97,NA,158,NA,NA
00705,4,NA,NA,0,NA,NA,2,15,31,115,NA,NA,NA,95.56,NA,162,NA,NA
